proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
34.122.187.196:80,http,3349,false,34.122.187.196,2,3
8.148.23.165:80,http,3355,false,8.148.23.165,1,3
139.196.95.28:7890,http,3371,false,139.196.95.28,2,3
39.102.213.187:3128,http,3378,false,39.102.213.187,1,3
39.102.210.222:3128,http,3380,false,39.102.210.222,1,3
47.238.134.126:9080,http,3394,false,47.238.134.126,1,3
58.214.243.92:443,http,3402,false,58.214.243.92,1,3
8.212.151.166:80,http,3423,false,8.212.151.166,1,3
8.220.205.172:80,http,3427,false,8.220.205.172,1,3
103.172.42.193:1111,http,3429,false,103.172.42.193,1,3
39.102.208.236:9080,http,3431,false,39.102.208.236,1,3
47.250.159.65:8181,http,3433,false,47.250.159.65,1,3
47.250.11.111:51,http,3444,false,47.250.11.111,1,3
8.148.20.126:3128,http,3446,false,8.148.20.126,1,3
47.121.133.212:9080,http,3454,false,47.121.133.212,1,3
81.200.155.224:1080,http,3459,false,81.200.155.224,3,3
8.138.149.37:9080,http,3472,false,8.138.149.37,1,3
47.91.89.3:8999,http,3482,false,47.91.89.3,1,3
174.138.165.211:38222,http,3489,false,72.216.75.37,2,3
8.138.125.130:666,http,3524,false,8.138.125.130,1,3
39.104.16.201:3128,http,3531,false,39.104.16.201,1,3
197.221.249.198:80,http,3543,false,41.220.17.62,3,3
8.137.62.53:80,http,3577,false,8.137.62.53,1,3
174.138.165.213:56157,http,3586,false,172.56.212.195,1,3
174.138.165.204:30060,http,3587,false,73.90.135.160,2,3
47.91.110.148:9080,http,3590,false,47.91.110.148,1,3
174.138.165.211:54270,http,3634,false,47.39.88.155,1,3
47.121.183.107:9098,http,3643,false,47.121.183.107,1,3
103.173.162.227:8818,http,3648,false,103.173.162.227,2,3
51.161.123.224:8080,http,3651,false,51.161.123.224,1,3
8.148.23.202:80,http,3660,false,8.148.23.202,1,3
47.237.113.119:8080,http,3666,false,47.237.113.119,1,3
8.219.229.53:6379,http,3732,false,8.219.229.53,1,3
47.121.183.107:9999,http,3732,false,47.121.183.107,1,3
47.92.143.92:82,http,3770,false,47.92.143.92,1,3
121.40.189.171:8000,http,3812,false,121.40.189.171,2,3
39.102.210.222:9098,http,3820,false,39.102.210.222,1,3
39.102.208.236:10000,http,3830,false,39.102.208.236,2,3
103.133.200.72:8080,http,3832,false,103.133.200.72,1,3
47.92.219.102:8080,http,3836,false,47.92.219.102,1,3
8.148.24.225:8081,http,3850,false,8.148.24.225,1,3
8.215.15.163:81,http,3860,false,8.215.15.163,1,3
39.100.88.89:8089,http,3874,false,39.100.88.89,1,3
39.102.208.189:1081,http,3877,false,39.102.208.189,1,3
47.119.164.33:9080,http,3897,false,47.119.164.33,1,3
8.137.13.191:8085,http,3921,false,8.137.13.191,1,3
47.104.198.111:8061,http,3981,false,47.104.198.111,2,3
47.238.128.246:8999,http,3986,false,47.238.128.246,1,3
47.91.109.17:8000,http,4018,false,47.91.109.17,1,3
8.219.229.53:5060,http,4020,false,8.219.229.53,1,3
47.119.19.221:4006,http,4035,false,192.168.2.50,1,3
47.106.216.202:3128,http,4047,false,47.106.216.202,1,3
104.225.220.233:80,http,4087,false,104.225.220.233,1,3
39.102.208.149:8080,http,4129,false,39.102.208.149,1,3
8.212.168.170:1081,http,4156,false,8.212.168.170,1,3
8.137.38.48:9999,http,4203,false,8.137.38.48,1,3
8.221.139.222:31433,http,4229,false,8.221.139.222,1,3
8.137.62.53:8443,http,4278,false,8.137.62.53,1,3
47.121.129.129:6666,http,4336,false,47.121.129.129,1,3
8.138.131.110:8081,http,4344,false,8.138.131.110,1,3
8.138.149.37:9098,http,4345,false,8.138.149.37,1,3
90.181.120.18:8082,http,4357,false,90.181.120.18,1,3
101.132.252.152:3128,http,4366,false,101.132.252.152,1,3
39.102.208.149:6666,http,4453,false,39.102.208.149,1,3
219.93.101.63:80,http,4461,false,60.53.60.240,2,3
8.138.82.6:443,http,4494,false,8.138.82.6,1,3
47.91.115.179:80,http,4495,false,47.91.115.179,1,3
39.104.27.89:3128,http,4564,false,39.104.27.89,1,3
47.91.109.17:20000,http,4573,false,47.91.109.17,1,3
121.43.154.123:80,http,4577,false,121.43.154.123,1,3
41.220.16.218:80,http,4586,false,41.220.17.62,3,3
91.188.213.143:1080,http,4597,false,91.188.213.143,3,3
45.173.207.126:999,http,4674,false,45.173.207.126,1,3
8.148.24.225:80,http,4744,false,8.148.24.225,1,3
20.118.221.52:3128,http,4752,false,20.118.221.52,3,3
106.14.91.83:8080,http,4773,false,106.14.91.83,1,3
8.148.23.202:4000,http,4883,false,8.148.23.202,1,3
